zip,status,ok,elapsed_s,error
77001,200,True,48.522,
77002,200,True,17.768,
77003,200,True,44.012,
77004,200,True,43.753,
77005,200,True,35.819,
77006,200,True,12.976,
77007,200,True,8.581,
77008,200,True,20.625,
77009,200,True,20.38,
77010,200,True,13.996,
77011,200,True,13.177,
77012,200,True,13.277,
77013,200,True,15.28,
77014,200,True,9.491,
77015,200,True,11.678,
77016,200,True,11.62,
77017,200,True,13.25,
77018,200,True,14.963,
77019,200,True,6.228,
77020,200,True,11.875,
77021,200,True,10.729,
77022,200,True,10.217,
77023,200,True,12.586,
77024,200,True,14.566,
77025,200,True,9.444,
77026,200,True,14.543,
77027,200,True,12.986,
77028,200,True,19.259,
77029,200,True,15.666,
77030,200,True,10.085,
77031,200,True,10.503,
77032,200,True,16.008,
77033,200,True,10.617,
77034,200,True,10.647,
77035,200,True,10.972,
77036,200,True,11.778,
77037,200,True,12.809,
77038,200,True,7.954,
77039,200,True,9.796,
77040,200,True,11.439,
77041,200,True,12.139,
77042,200,True,11.556,
77043,200,True,14.465,
77044,200,True,9.147,
77045,200,True,12.004,
77046,200,True,12.159,
77047,200,True,13.751,
77048,200,True,12.69,
77049,200,True,13.748,
77050,200,True,7.704,
77051,200,True,13.586,
77052,200,True,7.876,
77053,200,True,9.833,
77054,200,True,14.762,
77055,200,True,6.351,
77056,200,True,12.202,
77057,200,True,12.348,
77058,200,True,12.218,
77059,200,True,11.961,
77060,200,True,18.925,
77061,200,True,6.978,
77062,200,True,11.718,
77063,200,True,10.823,
77064,200,True,11.74,
77065,200,True,11.935,
77066,200,True,11.972,
77067,200,True,7.555,
77068,200,True,15.099,
77069,200,True,12.187,
77070,200,True,11.132,
77071,200,True,11.996,
77072,200,True,11.155,
77073,200,True,7.078,
77074,200,True,15.542,
77075,200,True,13.131,
77076,200,True,10.735,
77077,200,True,13.706,
77078,200,True,13.229,
77079,200,True,8.601,
77080,200,True,14.788,
77081,200,True,12.626,
77082,200,True,12.038,
77083,200,True,12.029,
77084,200,True,12.445,
77085,200,True,7.489,
77086,200,True,12.481,
77087,200,True,11.807,
77088,200,True,12.417,
77089,200,True,12.464,
77090,200,True,17.706,
77091,200,True,6.968,
77092,200,True,12.563,
77093,200,True,23.491,
77094,200,True,22.879,
77095,200,True,9.319,
77096,200,True,11.637,
77097,200,True,2.391,
77098,200,True,8.56,
77099,200,True,12.895,
77315,200,True,7.066,
77587,200,True,7.605,
